file;metric;value
src/main/java/org/elasticsearch/gradle/AbstractLazyPropertyCollection.java;cyclocomplex;5
src/main/java/org/elasticsearch/gradle/AbstractLazyPropertyCollection.java;cognicomplex;3
src/main/java/org/elasticsearch/gradle/Architecture.java;cyclocomplex;4
src/main/java/org/elasticsearch/gradle/Architecture.java;cognicomplex;1
src/main/java/org/elasticsearch/gradle/info/BuildParams.java;cyclocomplex;51
src/main/java/org/elasticsearch/gradle/info/BuildParams.java;cognicomplex;7
src/main/java/org/elasticsearch/gradle/internal/BwcGitExtension.java;cyclocomplex;6
src/main/java/org/elasticsearch/gradle/internal/BwcGitExtension.java;cognicomplex;0
src/main/java/org/elasticsearch/gradle/internal/BwcSetupExtension.java;cyclocomplex;24
src/main/java/org/elasticsearch/gradle/internal/BwcSetupExtension.java;cognicomplex;18
src/main/java/org/elasticsearch/gradle/BwcVersions.java;cyclocomplex;56
src/main/java/org/elasticsearch/gradle/BwcVersions.java;cognicomplex;37
src/test/java/org/elasticsearch/gradle/BwcVersionsTests.java;cyclocomplex;undefined
src/test/java/org/elasticsearch/gradle/BwcVersionsTests.java;cognicomplex;0
src/main/java/org/elasticsearch/gradle/internal/precommit/CheckstylePrecommitPlugin.java;cyclocomplex;11
src/main/java/org/elasticsearch/gradle/internal/precommit/CheckstylePrecommitPlugin.java;cognicomplex;10
src/main/java/org/elasticsearch/gradle/dependencies/CompileOnlyResolvePlugin.java;cyclocomplex;4
src/main/java/org/elasticsearch/gradle/dependencies/CompileOnlyResolvePlugin.java;cognicomplex;2
src/main/java/org/elasticsearch/gradle/ConcatFilesTask.java;cyclocomplex;13
src/main/java/org/elasticsearch/gradle/ConcatFilesTask.java;cognicomplex;3
src/test/java/org/elasticsearch/gradle/ConcatFilesTaskTests.java;cyclocomplex;undefined
src/test/java/org/elasticsearch/gradle/ConcatFilesTaskTests.java;cognicomplex;0
src/main/java/org/elasticsearch/gradle/test/rest/CopyRestApiTask.java;cyclocomplex;51
src/main/java/org/elasticsearch/gradle/test/rest/CopyRestApiTask.java;cognicomplex;31
src/main/java/org/elasticsearch/gradle/test/rest/CopyRestTestsTask.java;cyclocomplex;31
src/main/java/org/elasticsearch/gradle/test/rest/CopyRestTestsTask.java;cognicomplex;15
src/main/java/org/elasticsearch/gradle/testclusters/DefaultTestClustersTask.java;cyclocomplex;1
src/main/java/org/elasticsearch/gradle/testclusters/DefaultTestClustersTask.java;cognicomplex;0
src/main/java/org/elasticsearch/gradle/DependenciesGraphPlugin.java;cyclocomplex;10
src/main/java/org/elasticsearch/gradle/DependenciesGraphPlugin.java;cognicomplex;7
src/main/java/org/elasticsearch/gradle/DependenciesGraphTask.java;cyclocomplex;11
src/main/java/org/elasticsearch/gradle/DependenciesGraphTask.java;cognicomplex;7
src/main/java/org/elasticsearch/gradle/internal/precommit/DependencyLicensesPrecommitPlugin.java;cyclocomplex;4
src/main/java/org/elasticsearch/gradle/internal/precommit/DependencyLicensesPrecommitPlugin.java;cognicomplex;0
src/main/java/org/elasticsearch/gradle/internal/precommit/DependencyLicensesTask.java;cyclocomplex;55
src/main/java/org/elasticsearch/gradle/internal/precommit/DependencyLicensesTask.java;cognicomplex;38
src/test/java/org/elasticsearch/gradle/internal/precommit/DependencyLicensesTaskTests.java;cyclocomplex;undefined
src/test/java/org/elasticsearch/gradle/internal/precommit/DependencyLicensesTaskTests.java;cognicomplex;0
src/main/java/org/elasticsearch/gradle/internal/DistributionArchive.java;cyclocomplex;9
src/main/java/org/elasticsearch/gradle/internal/DistributionArchive.java;cognicomplex;0
src/main/java/org/elasticsearch/gradle/internal/DistributionArchiveCheckExtension.java;cyclocomplex;1
src/main/java/org/elasticsearch/gradle/internal/DistributionArchiveCheckExtension.java;cognicomplex;0
src/main/java/org/elasticsearch/gradle/DistributionDependency.java;cyclocomplex;4
src/main/java/org/elasticsearch/gradle/DistributionDependency.java;cognicomplex;0
src/main/java/org/elasticsearch/gradle/DistributionDownloadPlugin.java;cyclocomplex;32
src/main/java/org/elasticsearch/gradle/DistributionDownloadPlugin.java;cognicomplex;13
src/test/java/org/elasticsearch/gradle/DistributionDownloadPluginTests.java;cyclocomplex;undefined
src/test/java/org/elasticsearch/gradle/DistributionDownloadPluginTests.java;cognicomplex;0
src/main/java/org/elasticsearch/gradle/DistributionResolution.java;cyclocomplex;6
src/main/java/org/elasticsearch/gradle/DistributionResolution.java;cognicomplex;0
src/main/java/org/elasticsearch/gradle/test/DistroTestPlugin.java;cyclocomplex;90
src/main/java/org/elasticsearch/gradle/test/DistroTestPlugin.java;cognicomplex;109
src/main/java/org/elasticsearch/gradle/DockerBase.java;cyclocomplex;2
src/main/java/org/elasticsearch/gradle/DockerBase.java;cognicomplex;0
src/main/java/org/elasticsearch/gradle/docker/DockerBuildTask.java;cyclocomplex;23
src/main/java/org/elasticsearch/gradle/docker/DockerBuildTask.java;cognicomplex;9
src/main/java/org/elasticsearch/gradle/testfixtures/DockerComposeThrottle.java;cyclocomplex;0
src/main/java/org/elasticsearch/gradle/testfixtures/DockerComposeThrottle.java;cognicomplex;0
src/main/java/org/elasticsearch/gradle/docker/DockerSupportPlugin.java;cyclocomplex;7
src/main/java/org/elasticsearch/gradle/docker/DockerSupportPlugin.java;cognicomplex;3
src/main/java/org/elasticsearch/gradle/docker/DockerSupportService.java;cyclocomplex;45
src/main/java/org/elasticsearch/gradle/docker/DockerSupportService.java;cognicomplex;39
src/test/java/org/elasticsearch/gradle/docker/DockerSupportServiceTests.java;cyclocomplex;undefined
src/test/java/org/elasticsearch/gradle/docker/DockerSupportServiceTests.java;cognicomplex;0
src/main/java/org/elasticsearch/gradle/testclusters/ElasticsearchCluster.java;cyclocomplex;118
src/main/java/org/elasticsearch/gradle/testclusters/ElasticsearchCluster.java;cognicomplex;50
src/main/java/org/elasticsearch/gradle/ElasticsearchDistribution.java;cyclocomplex;66
src/main/java/org/elasticsearch/gradle/ElasticsearchDistribution.java;cognicomplex;38
src/main/java/org/elasticsearch/gradle/ElasticsearchJavaPlugin.java;cyclocomplex;35
src/main/java/org/elasticsearch/gradle/ElasticsearchJavaPlugin.java;cognicomplex;11
src/main/java/org/elasticsearch/gradle/testclusters/ElasticsearchNode.java;cyclocomplex;266
src/main/java/org/elasticsearch/gradle/testclusters/ElasticsearchNode.java;cognicomplex;189
src/main/java/org/elasticsearch/gradle/ElasticsearchTestBasePlugin.java;cyclocomplex;15
src/main/java/org/elasticsearch/gradle/ElasticsearchTestBasePlugin.java;cognicomplex;15
src/main/java/org/elasticsearch/gradle/EmptyDirTask.java;cyclocomplex;8
src/main/java/org/elasticsearch/gradle/EmptyDirTask.java;cognicomplex;0
src/test/java/org/elasticsearch/gradle/EmptyDirTaskTests.java;cyclocomplex;undefined
src/test/java/org/elasticsearch/gradle/EmptyDirTaskTests.java;cognicomplex;0
src/main/java/org/elasticsearch/gradle/test/ErrorReportingTestListener.java;cyclocomplex;45
src/main/java/org/elasticsearch/gradle/test/ErrorReportingTestListener.java;cognicomplex;48
src/main/java/org/elasticsearch/gradle/ExportElasticsearchBuildResourcesTask.java;cyclocomplex;12
src/main/java/org/elasticsearch/gradle/ExportElasticsearchBuildResourcesTask.java;cognicomplex;7
src/main/java/org/elasticsearch/gradle/internal/precommit/FilePermissionsPrecommitPlugin.java;cyclocomplex;5
